title,price,brand,Model,frequency,RAM
MSI PCI-E 4.0 RTX 3090 Ti GAMING TRIO 24G NVIDIA GeForce RTX 3090TI 24576Mb 384 GDDR6X 1815/21000 HDMIx1 DPx3 HDCP Ret,169700,MSI,nan,nan,nan
Radeon RX 6600 MECH 2X 8G,40100,MSI,nan,nan,nan
PCIE16 RTX3090TI 24GB RTX3090TI GAMEROCK 24G PALIT,165980,Palit,nan,nan,nan
PCIE16 GTX1660 6GB GDDR5 GTX 1660 1-CLICK OC 6G KFA2,26700,KFA2,nan,nan,nan
PCIE16 GTX1660 SUPER 6GB AF1660S-6144D6H4-V2 AFOX,28740,nan,nan,nan,nan
PNY Quadro RTX 6000 VCQRTX6000-PB PCI-E 24576Mb GDDR6 384 Bit Retail,346350,PNY,Quadro RTX 6000,1440,24576
nVidia Quadro RTX 8000 PASSIVE PCI-E 49152Mb GDDR6 384 Bit OEM (900-2G150-0050-000),577240,nVidia,Quadro RTX 8000,1230,49152
PNY T4 TCST4MATX-PB PCI-E 16384Mb GDDR6 256 Bit Retail,216110,PNY,T4,585,16384
DELL Quadro RTX 6000 490-BFCZ PCI-E GDDR6 384 Bit Retail 490-BFCZ,470250,DELL,Quadro RTX 6000,4608,"gddr6/"" class=""pseudo"
DELL Quadro RTX 6000 490-BFCZ PCI-E 24576Mb GDDR6 384 Bit OEM,452680,DELL,Quadro RTX 6000,4608,"gddr6/"" class=""pseudo"
GigaByte nVidia GeForce RTX 3090 TURBO PCI-E 24576Mb GDDR6X 384 Bit Retail (GV-N3090TURBO-24GD),174640,GigaByte,nVidia GeForce RTX 3090,1695,24576
Palit nVidia GeForce RTX 3080 GameRock PCI-E 10240Mb GDDR6X 320 Bit Retail (NED3080U19IA-1020G),99580,Palit,nVidia GeForce RTX 3080,1440,10240
nVidia GeForce Titan V 900-1G500-2500-000 PCI-E 12288Mb HBM2 3072 Bit Retail,158720,nVidia,GeForce Titan V,1200,12288
GigaByte nVidia GeForce RTX 3080 VISION OC LHR PCI-E 10240Mb GDDR6X 320 Bit Retail (GV-N3080VISION OC-10GD 2.0),102430,GigaByte,nVidia GeForce RTX 3080,1800,10240
GigaByte nVidia GeForce RTX 3090 GAMING OC PCI-E 24576Mb GDDR6X 384 Bit Retail,165960,GigaByte,nVidia GeForce RTX 3090,1755,24576
GigaByte Radeon RX 6900 XT XTREME WATERFORCE WB PCI-E 16384Mb GDDR6 256 Bit Retail (GV-R69XTAORUSX WB-16GD),104630,GigaByte,Radeon RX 6900 XT,2375,16384
Gigabyte PCI-E 4.0 GV-N3080EAGLE-12GD LHR NVIDIA GeForce RTX 3080 12288Mb 320 GDDR6X 1710/19000 HDMIx2 DPx3 HDCP Ret,106800,GigaByte,nan,nan,nan
Afox GeForce GT 710 AF710-2048D3L5 PCI-E 2048Mb GDDR3 64 Bit Retail,3520,Afox,GeForce GT 710,954,2048
Palit nVidia GeForce RTX 3080 Ti GamingPro PCI-E 12288Mb GDDR6X 384 Bit Retail (NED308T019KB-132AA),124110,Palit,nVidia GeForce RTX 3080 Ti,1365,12288
GV-R68GAMING OC-16GD RX6800 16GB GDDR6 256bit HDMI 2xDP RTL (307936),75770,GigaByte,nan,nan,nan
GigaByte nVidia GeForce RTX 3060 Ti AORUS ELITE LHR PCI-E 8192Mb GDDR6 256 Bit Retail (GV-N306TAORUS E-8GD 2.0),62630,GigaByte,nVidia GeForce RTX 3060 Ti,1785,8192
"VGA PNY NVIDIA RTX A5000, 24 GB GDDR6 with ECC, 384 bit, DisplayPort 1.4 (4),PCI Express 4.0 x16",227290,PNY,Quadro RTX A5000,1170,24576
RTX3070Ti X3 8GB GDDR6X 256bit HDMI 3xDP RTL {5} (781) (101971),74320,Inno3D,nan,nan,nan
Afox AMD Radeon R5 230 AFR5230-2048D3L4 PCI-E 2048Mb GDDR3 64 Bit Retail,2920,Afox,AMD Radeon R5 230,625,2048
GigaByte nVidia GeForce RTX 3060 Ti GAMING OC LHR PCI-E 8192Mb GDDR6 256 Bit Retail (GV-N306TGAMING OC-8GD 2.0),56290,GigaByte,nVidia GeForce RTX 3060 Ti,1740,8192
ASUS GeForce GT 730 GT730-SL-2GD5-BRK PCI-E 2048Mb GDDR5 64 Bit Retail (GT730-SL-2GD5-BRK),6300,ASUS,GeForce GT 730,902,2048
RTX3050 TWIN X2 8GB GDDR6 128-bit HDMI 3xDP RTL {10} (854) (102602),33440,Inno3D,nan,nan,nan
Palit nVidia GeForce RTX 3050 Dual PCI-E 8192Mb GDDR6 128 Bit Retail (NE63050019P1-190AD),33800,Palit,nVidia GeForce RTX 3050,1552,8192
GigaByte Radeon RX 6500 XT GAMING OC PCI-E 4096Mb GDDR6 64 Bit Retail (GV-R65XTGAMING OC-4GD),21470,GigaByte,Radeon RX 6500 XT,2825,4096
PNY Quadro T600 VCNT600-SB PCI-E 4096Mb GDDR6 128 Bit Retail,39690,PNY,Quadro T600,735,4096
GigaByte nVidia GeForce RTX 3070 GAMING OC LHR PCI-E 8192Mb GDDR6 256 Bit Retail (GV-N3070GAMING OC-8GD 2.0),68550,GigaByte,nVidia GeForce RTX 3070,1815,8192
Afox AMD Radeon R5 230 AFR5230-1024D3L9-V2 PCI-E 1024Mb GDDR3 64 Bit Retail,2500,Afox,AMD Radeon R5 230,625,1024
